environment,checkpoint_stage,mode,seed,return,ggr_success,episode_length
CartpoleSwingupEnvLong-v0,Mid,ppo-lagrangian,20260867,-1565.681656170945,True,1000
CartpoleSwingupEnvLong-v0,Mid,ppo-lagrangian,20260868,-61.933886204538844,True,1000
CartpoleSwingupEnvLong-v0,Mid,ppo-lagrangian,20260869,-128.3723508245429,True,1000
CartpoleSwingupEnvLong-v0,Mid,ppo-lagrangian,20260870,-569.3120691077777,True,1000
CartpoleSwingupEnvLong-v0,Mid,ppo-lagrangian,20260871,-296.77972664482417,True,1000
CartpoleSwingupEnvLong-v0,Mid,ppo-lagrangian,20260872,-417.0096210353868,True,1000
CartpoleSwingupEnvLong-v0,Mid,ppo-lagrangian,20260873,-1414.0173897316238,True,1000
CartpoleSwingupEnvLong-v0,Mid,ppo-lagrangian,20260874,-1598.8023557239292,True,1000
CartpoleSwingupEnvLong-v0,Mid,ppo-lagrangian,20260875,-360.3324896709001,True,1000
CartpoleSwingupEnvLong-v0,Mid,ppo-lagrangian,20260876,-862.0550133526835,True,1000
CartpoleSwingupEnvLong-v0,Mid,ppo-lagrangian,20260877,-232.3017195601065,True,1000
CartpoleSwingupEnvLong-v0,Mid,ppo-lagrangian,20260878,-296.64067528910743,True,1000
CartpoleSwingupEnvLong-v0,Mid,ppo-lagrangian,20260879,-407.477442738736,True,1000
CartpoleSwingupEnvLong-v0,Mid,ppo-lagrangian,20260880,-3263.995471843575,False,1000
CartpoleSwingupEnvLong-v0,Mid,ppo-lagrangian,20260881,-1254.2411112764732,True,1000
CartpoleSwingupEnvLong-v0,Mid,ppo-lagrangian,20260882,-616.4313671972413,True,1000
